order_id,customer_id,order_date,product_id,product_name,category,brand,size,color,price,quantity,total_amount,discount,payment_method,shipping_method,region,customer_age,customer_gender,is_member,channel,status
EC2024101600000000,C000126,2024-10-16,P000058,H&M 裤子,裤子,ZARA,XXL,白色,106.5,3,319.5,0.18,支付宝,快递,华北,31,男,True,线下,已退货
EC2023081400000001,C000389,2023-08-14,P000041,ONLY 运动装,运动装,UR,M,蓝色,330.6,1,330.6,0.06,银行卡,快递,华北,42,男,False,小程序,已完成
EC2023021400000002,C000041,2023-02-14,P000142,无印良品 运动装,运动装,UR,XL,灰色,308.85,4,1235.4,0.21,支付宝,同城配送,华东,36,男,True,线上,已退货
EC2023101200000003,C000084,2023-10-12,P000095,UR 运动装,运动装,GAP,XXL,红色,349.63,3,1048.89,0.21,支付宝,同城配送,东北,28,男,True,APP,已退货
EC2023100400000004,C000118,2023-10-04,P000009,UR 外套,外套,ONLY,M,白色,746.69,1,746.69,0.06,银行卡,快递,东北,49,女,False,线下,已完成
EC2023052300000005,C000135,2023-05-23,P000192,ONLY 外套,外套,ONLY,M,灰色,794.99,5,3974.95,0.3,微信,同城配送,华中,23,男,True,线下,已完成
EC2024112700000006,C000196,2024-11-27,P000153,VERO MODA 内衣,内衣,无印良品,XL,黑色,110.57,4,442.28,0.2,支付宝,同城配送,西南,35,女,True,小程序,已退货
EC2023061100000007,C000498,2023-06-11,P000129,H&M 运动装,运动装,ZARA,XXL,红色,90.33,3,270.99,0.25,微信,快递,华南,28,男,False,APP,已完成
EC2023042500000008,C000123,2023-04-25,P000015,GAP 配饰,配饰,ZARA,XS,黄色,178.38,3,535.14,0.24,微信,快递,东北,48,男,False,APP,已完成
EC2024070600000009,C000344,2024-07-06,P000167,UR 外套,外套,VERO MODA,XL,黄色,769.36,4,3077.44,0.04,微信,快递,华南,19,男,True,线上,已完成
EC2024122500000010,C000441,2024-12-25,P000085,ZARA 上衣,上衣,GAP,M,黄色,113.95,1,113.95,0.06,微信,同城配送,西南,54,女,True,APP,已退货
EC2023071400000011,C000182,2023-07-14,P000109,ONLY 裤子,裤子,VERO MODA,XXL,黑色,128.08,4,512.32,0.2,支付宝,快递,华中,64,女,True,线下,已完成
EC2023071400000012,C000143,2023-07-14,P000119,GAP 运动装,运动装,ZARA,L,白色,146.47,2,292.94,0.02,支付宝,快递,华东,28,女,False,APP,已完成
EC2024021500000013,C000200,2024-02-15,P000068,VERO MODA 上衣,上衣,无印良品,L,黄色,98.51,1,98.51,0.05,银行卡,快递,华北,55,男,False,线上,已完成
EC2024082100000014,C000081,2024-08-21,P000015,ZARA 运动装,运动装,H&M,XS,白色,295.17,5,1475.85,0.2,微信,自提,华北,54,男,True,线上,已退货
EC2024110400000015,C000343,2024-11-04,P000184,UR 配饰,配饰,GAP,M,绿色,187.9,2,375.8,0.04,银行卡,自提,华南,22,男,False,线上,已完成
EC2024070400000016,C000478,2024-07-04,P000090,ZARA 外套,外套,GAP,M,红色,603.71,2,1207.42,0.05,银行卡,同城配送,东北,51,男,False,线上,已完成
EC2023092800000017,C000080,2023-09-28,P000070,无印良品 裤子,裤子,GAP,XXL,卡其色,365.91,5,1829.55,0.06,银行卡,同城配送,华中,34,男,True,APP,已完成
EC2023021500000018,C000327,2023-02-15,P000068,H&M 上衣,上衣,VERO MODA,XL,绿色,139.05,2,278.1,0.17,支付宝,快递,东北,27,男,False,线下,已退货
EC2023051100000019,C000461,2023-05-11,P000092,GAP 上衣,上衣,GAP,XXL,白色,132.98,1,132.98,0.11,现金,同城配送,东北,27,男,True,线下,已退货
EC2023012600000020,C000401,2023-01-26,P000106,GAP 裙子,裙子,无印良品,S,白色,388.36,3,1165.08,0.11,支付宝,自提,华东,30,女,False,小程序,已完成
EC2023081700000021,C000169,2023-08-17,P000072,ZARA 上衣,上衣,无印良品,M,绿色,217.41,4,869.64,0.2,银行卡,快递,华北,34,男,False,线上,已完成
EC2024090200000022,C000224,2024-09-02,P000156,ZARA 内衣,内衣,ONLY,XL,灰色,80.48,3,241.44,0.08,现金,快递,西南,52,男,False,APP,已完成
EC2024111100000023,C000369,2024-11-11,P000077,无印良品 配饰,配饰,ONLY,M,绿色,134.94,1,134.94,0.21,微信,快递,华中,60,女,True,小程序,已退货
EC2024071500000024,C000221,2024-07-15,P000149,UR 上衣,上衣,VERO MODA,L,黄色,131.93,2,263.86,0.2,现金,同城配送,华东,60,男,False,小程序,已完成
EC2023082900000025,C000076,2023-08-29,P000007,优衣库 鞋类,鞋类,GAP,L,白色,257.05,2,514.1,0.14,微信,同城配送,东北,42,女,False,线下,已完成
EC2024110200000026,C000399,2024-11-02,P000109,GAP 上衣,上衣,H&M,XXL,黄色,273.24,1,273.24,0.02,微信,快递,华中,26,女,False,APP,已退货
EC2024071500000027,C000231,2024-07-15,P000067,GAP 运动装,运动装,无印良品,XL,黄色,456.86,4,1827.44,0.19,银行卡,自提,华北,63,女,True,小程序,已完成
EC2023112400000028,C000197,2023-11-24,P000178,H&M 裤子,裤子,GAP,XS,绿色,140.51,2,281.02,0.12,现金,自提,华北,31,女,False,线上,已退货
EC2024050300000029,C000386,2024-05-03,P000100,ONLY 上衣,上衣,GAP,L,灰色,285.26,3,855.78,0.08,现金,快递,华中,39,女,True,APP,已完成
EC2024092900000030,C000289,2024-09-29,P000170,优衣库 上衣,上衣,ZARA,XXL,绿色,276.66,5,1383.3,0.04,现金,快递,华北,34,女,False,线下,已退货
EC2023120100000031,C000143,2023-12-01,P000193,ONLY 配饰,配饰,无印良品,XS,黄色,158.41,4,633.64,0.01,支付宝,自提,华东,59,男,True,线上,已完成
EC2023072400000032,C000065,2023-07-24,P000122,ZARA 上衣,上衣,GAP,L,红色,208.12,2,416.24,0.23,微信,同城配送,西南,65,男,True,小程序,已完成
EC2024081500000033,C000347,2024-08-15,P000097,ONLY 上衣,上衣,GAP,XS,灰色,281.93,5,1409.65,0.03,银行卡,同城配送,西南,25,男,False,APP,已完成
EC2023031200000034,C000422,2023-03-12,P000126,ZARA 配饰,配饰,ONLY,M,黄色,31.15,4,124.6,0.21,现金,快递,东北,51,女,False,APP,已退货
EC2024082900000035,C000426,2024-08-29,P000023,无印良品 鞋类,鞋类,VERO MODA,S,黄色,312.71,2,625.42,0.17,现金,自提,华北,49,女,True,APP,已完成
EC2023123000000036,C000360,2023-12-30,P000071,优衣库 鞋类,鞋类,GAP,XS,灰色,322.99,5,1614.95,0.22,现金,同城配送,华东,62,女,False,APP,已完成
EC2023040600000037,C000157,2023-04-06,P000170,UR 鞋类,鞋类,VERO MODA,XL,卡其色,255.31,2,510.62,0.13,银行卡,自提,东北,47,女,False,小程序,已完成
EC2023050400000038,C000487,2023-05-04,P000196,H&M 外套,外套,GAP,S,黄色,451.44,5,2257.2,0.08,银行卡,快递,华东,36,男,False,线下,已完成
EC2023011500000039,C000284,2023-01-15,P000075,H&M 裙子,裙子,VERO MODA,XS,黑色,194.21,1,194.21,0.17,现金,自提,华中,39,男,True,小程序,已退货
EC2023042700000040,C000296,2023-04-27,P000162,优衣库 裤子,裤子,H&M,S,红色,219.21,1,219.21,0.03,微信,快递,西南,44,男,False,APP,已退货
EC2023110100000041,C000031,2023-11-01,P000157,ZARA 内衣,内衣,GAP,XXL,灰色,75.65,5,378.25,0.08,支付宝,快递,华东,29,男,True,线上,已退货
EC2024040600000042,C000148,2024-04-06,P000181,无印良品 运动装,运动装,VERO MODA,XS,灰色,208.42,2,416.84,0.28,微信,自提,华北,52,男,True,小程序,已完成
EC2023031500000043,C000305,2023-03-15,P000192,无印良品 上衣,上衣,VERO MODA,XS,黄色,98.82,3,296.46,0.21,现金,自提,西南,52,女,False,线上,已完成
EC2024031800000044,C000047,2024-03-18,P000059,优衣库 配饰,配饰,无印良品,XL,黑色,131.63,1,131.63,0.23,微信,自提,西南,59,女,False,线下,已退货
EC2024101200000045,C000179,2024-10-12,P000105,UR 运动装,运动装,UR,XXL,白色,486.31,4,1945.24,0.26,银行卡,自提,东北,49,女,False,线上,已退货
EC2023040100000046,C000497,2023-04-01,P000198,ONLY 配饰,配饰,优衣库,XXL,黄色,71.91,1,71.91,0.12,微信,同城配送,华南,57,女,False,线上,已完成
EC2023100100000047,C000451,2023-10-01,P000179,VERO MODA 裙子,裙子,ZARA,XS,灰色,468.62,4,1874.48,0.21,银行卡,同城配送,华北,53,女,True,线下,已完成
EC2024041700000048,C000256,2024-04-17,P000184,无印良品 裤子,裤子,无印良品,L,黄色,293.31,2,586.62,0.29,微信,自提,西南,27,女,True,线下,已完成
EC2023101000000049,C000137,2023-10-10,P000001,无印良品 内衣,内衣,无印良品,XL,黄色,79.79,5,398.95,0.26,现金,同城配送,华中,40,女,False,APP,已完成
EC2023071300000050,C000439,2023-07-13,P000199,ONLY 外套,外套,优衣库,M,黄色,656.44,2,1312.88,0.21,现金,自提,东北,59,男,False,线上,已完成
EC2024052900000051,C000052,2024-05-29,P000135,VERO MODA 配饰,配饰,优衣库,XXL,蓝色,176.85,4,707.4,0.12,微信,快递,华中,34,女,False,线上,已完成
EC2024112100000052,C000447,2024-11-21,P000139,优衣库 内衣,内衣,ZARA,S,红色,153.5,4,614.0,0.3,支付宝,自提,华北,58,男,False,线下,已完成
EC2023013000000053,C000151,2023-01-30,P000092,UR 上衣,上衣,ONLY,S,灰色,136.85,1,136.85,0.16,微信,快递,华东,23,女,True,APP,已完成
EC2023082600000054,C000131,2023-08-26,P000171,优衣库 运动装,运动装,VERO MODA,M,蓝色,350.54,4,1402.16,0.02,银行卡,同城配送,华南,58,女,False,APP,已完成
EC2023072300000055,C000122,2023-07-23,P000098,UR 内衣,内衣,无印良品,XXL,红色,141.4,1,141.4,0.01,现金,自提,华北,54,男,False,小程序,已完成
EC2024091300000056,C000318,2024-09-13,P000065,H&M 配饰,配饰,ZARA,XXL,黑色,66.23,2,132.46,0.09,现金,快递,西南,41,男,True,小程序,已完成
EC2024030100000057,C000449,2024-03-01,P000094,无印良品 裙子,裙子,H&M,M,黄色,163.33,5,816.65,0.29,银行卡,同城配送,华南,25,女,True,线下,已完成
EC2024112300000058,C000188,2024-11-23,P000024,ONLY 内衣,内衣,优衣库,M,白色,155.07,5,775.35,0.14,银行卡,同城配送,华中,58,女,True,线下,已退货
EC2023012600000059,C000332,2023-01-26,P000017,VERO MODA 配饰,配饰,无印良品,XXL,绿色,184.59,2,369.18,0.04,支付宝,快递,华南,49,男,True,线下,已完成
EC2024020200000060,C000215,2024-02-02,P000151,H&M 运动装,运动装,ONLY,XXL,白色,241.11,5,1205.55,0.25,现金,自提,华北,62,女,True,APP,已退货
EC2023083000000061,C000279,2023-08-30,P000166,UR 配饰,配饰,优衣库,L,红色,45.89,3,137.67,0.06,支付宝,自提,华北,60,男,True,线上,已完成
EC2023090700000062,C000036,2023-09-07,P000196,GAP 裙子,裙子,GAP,S,卡其色,409.53,2,819.06,0.23,支付宝,自提,华东,26,女,True,线上,已完成
EC2023051500000063,C000302,2023-05-15,P000083,优衣库 上衣,上衣,H&M,M,黑色,144.98,2,289.96,0.04,现金,同城配送,华北,65,男,False,APP,已完成
EC2024060900000064,C000485,2024-06-09,P000158,优衣库 裤子,裤子,无印良品,L,黑色,234.6,2,469.2,0.02,现金,自提,华中,61,男,False,APP,已完成
EC2023032400000065,C000065,2023-03-24,P000071,UR 配饰,配饰,ONLY,XL,红色,132.41,1,132.41,0.14,现金,快递,东北,25,男,False,APP,已完成
EC2024022800000066,C000213,2024-02-28,P000187,ZARA 配饰,配饰,UR,L,卡其色,169.66,4,678.64,0.2,银行卡,快递,东北,48,男,True,线上,已完成
EC2024031800000067,C000416,2024-03-18,P000034,优衣库 裤子,裤子,UR,XXL,白色,322.38,3,967.14,0.12,现金,同城配送,华北,36,女,False,线上,已完成
EC2023060800000068,C000180,2023-06-08,P000143,UR 运动装,运动装,ZARA,M,灰色,180.94,1,180.94,0.24,支付宝,同城配送,东北,62,女,True,线下,已完成
EC2024122000000069,C000004,2024-12-20,P000047,H&M 鞋类,鞋类,ONLY,XS,蓝色,654.28,3,1962.84,0.22,支付宝,快递,东北,51,男,False,APP,已退货
EC2023121600000070,C000398,2023-12-16,P000146,ZARA 裙子,裙子,优衣库,S,蓝色,234.42,3,703.26,0.23,支付宝,同城配送,华北,35,女,False,APP,已退货
EC2024022900000071,C000059,2024-02-29,P000089,ONLY 鞋类,鞋类,ZARA,M,黄色,251.87,5,1259.35,0.16,银行卡,快递,华东,43,男,True,线下,已完成
EC2023080500000072,C000168,2023-08-05,P000031,优衣库 裙子,裙子,VERO MODA,XXL,绿色,399.95,3,1199.85,0.05,现金,同城配送,东北,32,女,True,APP,已完成
EC2024032200000073,C000442,2024-03-22,P000081,ONLY 上衣,上衣,ONLY,XXL,绿色,169.34,1,169.34,0.09,现金,快递,华南,28,女,False,线上,已退货
EC2023041900000074,C000269,2023-04-19,P000021,ONLY 外套,外套,无印良品,XXL,卡其色,547.54,4,2190.16,0.07,微信,快递,西南,58,男,True,小程序,已完成
EC2024102200000075,C000132,2024-10-22,P000051,H&M 裙子,裙子,H&M,XXL,白色,178.23,2,356.46,0.05,现金,自提,西南,55,女,False,小程序,已完成
EC2024032600000076,C000408,2024-03-26,P000071,优衣库 裤子,裤子,UR,XL,白色,239.68,3,719.04,0.09,现金,快递,华北,41,女,True,线上,已退货
EC2024041800000077,C000334,2024-04-18,P000049,UR 上衣,上衣,VERO MODA,XL,蓝色,166.94,5,834.7,0.29,现金,快递,华南,63,男,True,线上,已完成
EC2024122500000078,C000268,2024-12-25,P000157,H&M 运动装,运动装,UR,M,红色,495.3,5,2476.5,0.12,银行卡,同城配送,西南,21,女,True,小程序,已完成
EC2024072500000079,C000448,2024-07-25,P000039,UR 内衣,内衣,ZARA,XL,蓝色,73.1,5,365.5,0.28,银行卡,同城配送,东北,60,女,True,线上,已完成
EC2024072600000080,C000417,2024-07-26,P000033,ZARA 内衣,内衣,ONLY,XL,卡其色,116.22,3,348.66,0.01,银行卡,快递,华东,39,女,True,线下,已完成
EC2023060800000081,C000260,2023-06-08,P000198,优衣库 裤子,裤子,UR,XL,蓝色,187.74,1,187.74,0.18,微信,快递,华东,62,男,False,线上,已退货
EC2024010900000082,C000146,2024-01-09,P000193,VERO MODA 外套,外套,GAP,XL,灰色,974.67,5,4873.35,0.09,现金,快递,华南,61,女,False,小程序,已退货
EC2024052900000083,C000411,2024-05-29,P000155,H&M 内衣,内衣,无印良品,XS,黄色,154.95,2,309.9,0.26,支付宝,同城配送,西南,25,女,True,线下,已完成
EC2024040500000084,C000485,2024-04-05,P000057,VERO MODA 裙子,裙子,UR,XS,绿色,428.04,1,428.04,0.02,银行卡,快递,华中,23,女,True,线上,已完成
EC2023041200000085,C000020,2023-04-12,P000074,VERO MODA 配饰,配饰,H&M,XXL,黄色,163.53,2,327.06,0.13,支付宝,快递,华北,34,男,True,APP,已完成
EC2023102300000086,C000123,2023-10-23,P000108,VERO MODA 外套,外套,ZARA,XS,黄色,439.92,1,439.92,0.18,支付宝,同城配送,西南,54,男,True,小程序,已退货
